date,title,url,source,location,latitude,longitude,cluster
2025-11-19 20:00:00,,https://www.dotnews.com/2025/housing-study-sees-affordability-gapas-a-reality-for-starter-home-hopefuls/,dotnews.com,"Massachusetts, United States",42.2373,-71.5314,3
2025-11-19 19:30:00,,https://www.housingwire.com/articles/where-manufactured-homes-are-filling-the-housing-affordability-gap/,housingwire.com,"West Virginia, United States",38.468,-80.9696,3
2025-11-19 17:15:00,Housing Numbers Buyers Market Affordability,https://www.cnbc.com/2025/11/19/housing-numbers-buyers-market-affordability.html,cnbc.com,Americans,39.828175,-98.5795,0
2025-11-19 16:00:00,2227670,https://www.manilatimes.net/2025/11/19/tmt-newswire/globenewswire/real-estate-firms-cite-housing-affordability-and-rising-costs-as-biggest-challenges/2227670,manilatimes.net,"Washington, Washington, United States",38.8951,-77.0364,4
2025-11-19 09:45:00,"Faith Leaders Call For Housing Affordability And A Repeal Of Citys Business Tax Cuts,38687","http://www.chestnuthilllocal.com/stories/faith-leaders-call-for-housing-affordability-and-a-repeal-of-citys-business-tax-cuts,38687",chestnuthilllocal.com,"Germantown, Pennsylvania, United States",39.7693,-77.148,6
2025-11-19 08:15:00,264737,https://www.penbaypilot.com:443/article/maine-s-housing-affordability-crisis-not-zoning-problem-it-s-economic-one/264737,penbaypilot.com,"South Portland, Maine, United States",43.6415,-70.2409,4
2025-11-19 07:15:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://krcgtv.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,krcgtv.com,Americans,39.828175,-98.5795,2
2025-11-19 05:30:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://weartv.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,weartv.com,"Washington, Washington, United States",38.8951,-77.0364,2
2025-11-19 05:15:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://abc7amarillo.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,abc7amarillo.com,"New York, United States",42.1497,-74.9384,2
2025-11-19 05:15:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://foxreno.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,foxreno.com,"New York, United States",42.1497,-74.9384,2
2025-11-19 05:15:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://newschannel9.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,newschannel9.com,"California, United States",36.17,-119.746,2
2025-11-19 05:15:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://nbcmontana.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,nbcmontana.com,"Washington, Washington, United States",38.8951,-77.0364,2
2025-11-19 05:15:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://fox17.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,fox17.com,"Washington, Washington, United States",38.8951,-77.0364,2
2025-11-19 05:00:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://fox23maine.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,fox23maine.com,"Washington, Washington, United States",38.8951,-77.0364,2
2025-11-19 05:00:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://krcrtv.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,krcrtv.com,"Washington, Washington, United States",38.8951,-77.0364,2
2025-11-19 05:00:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://cbs12.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,cbs12.com,"Washington, Washington, United States",38.8951,-77.0364,2
2025-11-19 05:00:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://wjla.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,wjla.com,Americans,39.828175,-98.5795,2
2025-11-19 05:00:00,Fact Check Team Will Trumps 50 Year Mortgage Idea Solve Or Worsen Housing Affordability Delay Americ,https://ktvo.com/news/nation-world/fact-check-team-will-trumps-50-year-mortgage-idea-solve-or-worsen-housing-affordability-delay-americans-underwater-financial-borrowed-homeowner,ktvo.com,"New York, United States",42.1497,-74.9384,2
